TASK,NAME,EMAIL,STAT…,CREA…,UPDA…,DELE…,FILE…,FILE…
Xero…,Muha…,13795,545.…,35.44,5.09,Nort…,Paper,0.38
GBC…,Doug…,14116,-16.…,30.98,11.63,Nort…,Bind…,0.37
GBC…,Doug…,14116,161.…,34.54,14.72,Nort…,Bind…,0.37
Saud…,Beth…,14372,-105…,170.…,60.49,Nort…,Book…,0.69
Fell…,Ralp…,14726,-21.…,20.95,4,Nort…,Comp…,0.6
Kens…,Carl…,14819,3122…,207.…,0.99,Nort…,Appl…,0.55
O'Su…,Carl…,14819,-478…,58.14,36.61,Nort…,Book…,0.61
G.E.…,Doro…,15106,-14.…,6.64,4.95,Nort…,Offi…,0.37
Pana…,Doro…,15106,948.…,145.…,17.85,Nort…,Offi…,0.56
Newe…,Doro…,15106,-6.33,2.21,1.12,Nort…,Pens…,0.58
Xero…,Delf…,15108,372.…,40.99,17.48,Nort…,Paper,0.36
Hon…,Juli…,15205,678.…,243.…,43.32,Nort…,Chai…,0.55
Eldo…,Juli…,15205,155.…,39.98,9.2,Nort…,Offi…,0.65
DAX…,Brad…,15591,73.53,12.58,5.16,Nort…,Offi…,0.43
O'Su…,Thom…,15907,-141…,48.58,54.11,Nort…,Book…,0.69
Tene…,Thom…,15907,950.…,105.…,13.99,Nort…,Offi…,0.65
Wire…,Thom…,15907,-5.41,7.04,2.17,Nort…,Paper,0.38
Memo…,Moni…,15937,74.07,9.78,1.99,Nort…,Comp…,0.43
Alum…,Moni…,15937,77.38,12.22,2.85,Nort…,Offi…,0.55
Memo…,Mich…,16039,-118…,43.98,1.99,Nort…,Comp…,0.44
Mult…,Fran…,16193,6.41,34.76,8.22,Nort…,Stor…,0.57
Acce…,Fran…,16193,-183…,55.99,5,Nort…,Tele…,0.83
Xero…,Brya…,16423,-55.…,6.48,6.57,Nort…,Paper,0.37
Sure…,Don…,16451,58.23,30.56,2.99,Nort…,Bind…,0.35
Colo…,Carl…,16545,4.45,5.16,0.73,Nort…,Pens…,0.56
*Sta…,Carl…,16545,-3.06,3.68,1.32,Nort…,Scis…,0.83
Hon…,Nico…,16547,1240…,355.…,58.92,Nort…,Chai…,0.64
BoxO…,Nico…,16547,-533…,218.…,69.64,Nort…,Tabl…,0.77
Eldo…,Beth…,16706,-100…,41.47,34.2,Nort…,Offi…,0.73
Pran…,Beth…,16706,-4.06,2.78,1.2,Nort…,Pens…,0.58
T39m,Beth…,16706,1881…,155.…,3.9,Nort…,Tele…,0.55
Xero…,Nico…,16741,-42.…,22.84,16.87,Nort…,Paper,0.39
Xero…,Carl…,16932,-120…,5.78,8.09,Nort…,Paper,0.36
Turq…,Carl…,16932,12.88,6.7,1.56,Nort…,Pens…,0.52
Okid…,Doro…,17283,-281…,1360…,14.7,Nort…,Offi…,0.59
Glob…,Muha…,17286,-541…,270.…,50,Nort…,Chai…,0.77
Micr…,Muha…,17409,-158…,20.97,6.5,Nort…,Comp…,0.78
Xero…,Don…,17764,-97.…,22.84,16.87,Nort…,Paper,0.39
Glob…,Sylv…,18080,-80.…,180.…,26.2,Nort…,Chai…,0.59
Offi…,Beck…,18113,-514…,130.…,30,Nort…,Chai…,0.78
Xero…,Doro…,18144,-131…,4.28,5.17,Nort…,Paper,0.4
Eldo…,Doro…,18144,-65.…,28.28,13.99,Nort…,Stor…,0.58
Acce…,Doro…,18144,-250…,55.99,5,Nort…,Tele…,0.8
Dura…,Ann…,18308,15.73,3.8,1.49,Nort…,Bind…,0.38
Fell…,Ann…,18308,-92.…,30.73,4,Nort…,Comp…,0.75
Star…,Ann…,18308,1465…,125.…,8.08,Nort…,Tele…,0.57
Acce…,Clay…,18887,18.23,20.99,0.99,Nort…,Tele…,0.37
Fell…,Gran…,19010,1095…,1270…,19.99,Nort…,Bind…,0.35
Stap…,Bren…,19078,-18.…,11.97,4.98,Nort…,Appl…,0.58
Recy…,Carl…,19138,-31.…,12.28,6.13,Nort…,Stor…,0.57
Verb…,Alan…,19655,304.…,39.24,1.99,Nort…,Comp…,0.51
Cano…,Alan…,19686,-53.…,17.98,8.51,Nort…,Offi…,0.4
GBC…,Alan…,19686,12.76,12.95,4.98,Nort…,Bind…,0.4
Newe…,Nico…,20007,-46.…,1.68,1.57,Nort…,Pens…,0.59
Glob…,Cari…,20071,-190…,25.98,14.36,Nort…,Chai…,0.6
Spee…,Chad…,20160,174.…,10.31,1.79,Nort…,Paper,0.38
GBC…,Brya…,20263,72.51,59.78,10.29,Nort…,Bind…,0.39
Acce…,Brya…,20263,-76.…,20.99,1.25,Nort…,Tele…,0.83
Newe…,Adri…,21285,-30.…,1.68,1.57,Nort…,Pens…,0.59
SANF…,Adri…,21285,23.82,7.08,2.35,Nort…,Pens…,0.47
Poly…,Rick…,21383,7416…,574.…,24.49,Nort…,Offi…,0.37
Dixo…,Heat…,21607,54.92,36.55,13.89,Nort…,Pens…,0.41
Acce…,Fred…,21636,366.…,55.99,3.3,Nort…,Tele…,0.59
Howa…,Beck…,21889,135.…,51.75,19.99,Nort…,Offi…,0.55
Recy…,Beck…,21889,103.…,55.29,5.08,Nort…,Stor…,0.59
Eldo…,Beth…,22151,-79.…,9.65,6.22,Nort…,Offi…,0.55
Acce…,Clau…,22342,-92.…,20.99,3.3,Nort…,Tele…,0.81
Bell…,Jack…,22469,-162…,7.99,5.03,Nort…,Tele…,0.6
#10-…,Alan…,22501,7.27,7.64,1.39,Nort…,Enve…,0.36
GBC…,Carl…,22532,-11.8,8.85,5.6,Nort…,Bind…,0.36
Xero…,Clay…,23264,-50.…,6.48,6.81,Nort…,Paper,0.36
Aver…,Clay…,23264,17.99,2.88,0.99,Nort…,Labe…,0.36
Rive…,Juli…,23488,-110…,880.…,44.55,Nort…,Book…,0.62
Hewl…,Alan…,23584,636.…,200.…,15.59,Nort…,Offi…,0.36
IBM…,Joy…,24007,135.…,20.89,1.99,Nort…,Comp…,0.48
Peel…,Joy…,24007,-13.…,11.58,6.97,Nort…,Enve…,0.35
Aver…,Joy…,24007,66.17,4.13,0.5,Nort…,Labe…,0.39
Pran…,Jack…,24038,-0.95,2.78,1.34,Nort…,Pens…,0.45
TDK…,Anth…,24097,-35.…,14.48,1.99,Nort…,Comp…,0.49
U.S.…,Anth…,24097,399.…,99.99,19.99,Nort…,Comp…,0.5
Xero…,Anth…,24097,-8.15,4.98,4.86,Nort…,Paper,0.38
Stan…,Euge…,24128,7.07,21.98,8.32,Nort…,Paper,0.39
"CF 8…",Euge…,24128,1459…,195.…,3.99,Nort…,Tele…,0.59
Hewl…,Thom…,24294,1951…,200.…,15.59,Nort…,Offi…,0.36
Dana…,Brya…,24387,51.9,40.97,14.45,Nort…,Offi…,0.57
SAFC…,Brya…,24387,1418…,349.…,60,Nort…,Tabl…,
Lexm…,Euge…,24515,121.…,80.97,33.6,Nort…,Offi…,0.37
Hon…,Sylv…,24743,176.…,216.6,64.2,Nort…,Chai…,0.59
Hon…,Sylv…,24743,753.…,140.…,24.49,Nort…,Chai…,0.57
Exec…,Carl…,24871,75.3,22.72,8.99,Nort…,Offi…,0.44
12-1…,Juli…,25318,-65.…,19.98,10.49,Nort…,Offi…,0.49
Epso…,Don…,25377,-375…,1500…,29.7,Nort…,Offi…,0.57
Fell…,Mike…,25634,28.99,20.95,4,Nort…,Comp…,0.6
Recy…,Mike…,25634,185.…,23.99,6.71,Nort…,Enve…,0.35
GBC…,Euge…,25733,-42.…,24.92,12.98,Nort…,Bind…,0.39
"80 M…",Ann…,25767,-59.2,39.48,1.99,Nort…,Comp…,0.54
Xero…,Ann…,25767,108.…,38.76,13.26,Nort…,Paper,0.36
Stap…,Char…,26023,19.86,2.47,1.02,Nort…,Rubb…,0.38
Meta…,Anni…,26051,-127…,33.94,19.19,Nort…,Chai…,0.58
"80 M…",Anni…,26051,22.46,8.33,1.99,Nort…,Comp…,0.52
Comp…,Carl…,26116,81.71,18.97,9.03,Nort…,Paper,0.37
Bush…,Doug…,26182,-549…,150.…,66.27,Nort…,Book…,0.65
Hon…,Carl…,26272,-4.19,140.…,24.49,Nort…,Chai…,0.57
Xero…,Fred…,26370,52.02,22.84,5.47,Nort…,Paper,0.39
Home…,Fred…,26370,63.83,34.76,5.49,Nort…,Stor…,0.6
Aver…,Sylv…,26499,8.78,2.88,0.5,Nort…,Labe…,0.39
i470,Mich…,26531,1215…,205.…,5.26,Nort…,Tele…,0.56
"3M O…",Sylv…,26567,-44.…,5.4,7.78,Nort…,Bind…,0.37
Imat…,Sylv…,26567,-100…,8.46,8.99,Nort…,Comp…,0.79
"GE 4…",Sylv…,26567,-17.…,14.98,8.99,Nort…,Offi…,0.39
300…,Sylv…,26567,1374…,155.…,8.08,Nort…,Tele…,0.6
Exec…,Char…,26854,-12.…,25.38,8.99,Nort…,Offi…,0.5
Micr…,Barr…,27109,-154…,10.97,6.5,Nort…,Comp…,0.64
"US R…",Heat…,27111,-127…,99.99,19.99,Nort…,Comp…,0.52
Fell…,Heat…,27111,282.…,193.…,19.99,Nort…,Stor…,0.71
Acce…,Heat…,27111,-96.…,20.99,3.3,Nort…,Tele…,0.81
Tele…,Henr…,27264,44.54,19.99,11.17,Nort…,Offi…,0.6
Cano…,Fran…,27392,2509…,150.…,13.99,Nort…,Offi…,0.38
Saud…,Jim…,27553,1166…,370.…,99,Nort…,Stor…,0.65
VTec…,Jim…,27553,297.…,179.…,13.99,Nort…,Tele…,0.57
Memo…,Ralp…,27555,65.41,6.74,1.72,Nort…,Paper,0.35
Belk…,Delf…,27680,-46.…,10.89,4.5,Nort…,Appl…,0.59
Xero…,Delf…,27680,-46.…,6.48,6.6,Nort…,Paper,0.37
GBC…,Roy…,27778,-105…,223.…,15.01,Nort…,Bind…,0.38
Saud…,Roy…,27778,-393…,140.…,36.09,Nort…,Book…,0.77
Xero…,Moni…,27909,-23.…,54.96,10.75,Nort…,Paper,0.36
Bagg…,Moni…,27909,-24.…,1.26,0.7,Nort…,Rubb…,0.81
Xero…,Char…,28003,-95.…,4.98,6.07,Nort…,Paper,0.36
Poly…,Don…,28035,89.56,18.99,5.23,Nort…,Bind…,0.37
Bion…,Jere…,28135,520.…,46.89,5.1,Nort…,Appl…,0.46
Acme…,Jere…,28135,38.23,12.98,3.14,Nort…,Scis…,0.6
Heav…,Gran…,28165,-12.8,10.91,2.99,Nort…,Bind…,0.38
Hamm…,Carl…,28289,-46.…,4.98,4.75,Nort…,Paper,0.36
Delu…,Carl…,28486,-517…,415.…,11.37,Nort…,Stor…,0.57
252,Ralp…,28675,4.39,65.99,5.92,Nort…,Tele…,0.55
6160,Cind…,28870,822.4,115.…,2.5,Nort…,Tele…,0.57
Imat…,Clau…,28871,-56.…,5.02,5.14,Nort…,Comp…,0.79
Pris…,Roy…,29030,24.6,19.84,4.1,Nort…,Pens…,0.44
Wils…,Delf…,29095,54.46,6.75,2.99,Nort…,Bind…,0.35
Bind…,Edwa…,29287,-106…,5.74,5.01,Nort…,Bind…,0.39
Epso…,Edwa…,29287,2699…,270.…,28.06,Nort…,Offi…,0.56
Atla…,Don…,29510,1292…,260.…,41.91,Nort…,Book…,0.59
Fell…,Gran…,29795,8793…,387.…,19.99,Nort…,Bind…,0.38
Rush…,Gran…,29795,813.…,160.…,35.02,Nort…,Book…,0.72
Aver…,Brad…,29861,5.58,3.08,0.99,Nort…,Labe…,0.37
Shar…,Char…,30658,6907…,499.…,24.49,Nort…,Copi…,0.36
SAFC…,Char…,30658,-942…,138.…,35,Nort…,Stor…,
Aver…,Char…,30947,261.…,41.94,2.99,Nort…,Bind…,0.35
Self…,Char…,30947,183.…,7.31,0.49,Nort…,Labe…,0.38
Star…,Brya…,31077,470.…,65.99,3.9,Nort…,Tele…,0.55
Redi…,Moni…,31111,-29.…,7.64,5.83,Nort…,Paper,0.36
Dana…,Mich…,31169,109.…,40.97,14.45,Nort…,Offi…,0.57
Glob…,Mich…,31270,801.…,299.…,87.01,Nort…,Chai…,0.57
Hon…,Mich…,31270,-328…,291.…,48.8,Nort…,Chai…,0.56
Fell…,Mich…,31270,-112…,30.42,8.65,Nort…,Comp…,0.74
Delu…,Beth…,31364,-539…,415.…,11.37,Nort…,Stor…,0.57
Luxo…,Cind…,31393,-27.…,19.94,14.87,Nort…,Offi…,0.57
*Sta…,Cind…,31393,-32.…,3.68,1.32,Nort…,Scis…,0.83
Stap…,Nico…,31492,-12.…,11.97,4.98,Nort…,Appl…,0.58
Acco…,Nico…,31492,-21.1,29.74,6.64,Nort…,Stor…,0.7
Fell…,Nico…,31492,-235…,95.43,19.99,Nort…,Stor…,0.79
Hone…,Cari…,31558,900.…,300.…,24.49,Nort…,Appl…,0.52
Verb…,Cari…,31558,455.…,45.19,1.99,Nort…,Comp…,0.55
Lock…,Roy…,31618,147.…,28.53,1.49,Nort…,Bind…,0.38
Adam…,Susa…,31684,23.48,5.68,1.46,Nort…,Paper,0.39
Tene…,Susa…,31684,-328…,15.51,17.78,Nort…,Stor…,0.59
Fell…,Sylv…,31781,-282…,5.81,8.49,Nort…,Bind…,0.39
Asso…,Sylv…,31781,5.53,1.81,0.75,Nort…,Rubb…,0.52
"HP O…",Chad…,32193,-10.…,6.68,6.93,Nort…,Paper,0.37
Stap…,Chad…,32193,37.33,3.93,0.99,Nort…,Rubb…,0.39
Cano…,Carl…,32229,44.37,150.…,13.99,Nort…,Offi…,0.38
Newe…,Carl…,32229,-0.12,1.76,0.7,Nort…,Pens…,0.56
Kens…,Gran…,32743,1280…,177.…,0.99,Nort…,Appl…,0.56
DAX…,Juli…,32806,-28.…,20.24,8.99,Nort…,Offi…,0.46
Bush…,Roy…,33123,-996…,150.…,66.27,Nort…,Book…,0.65
Acce…,Cind…,33159,-70.…,20.99,0.99,Nort…,Tele…,0.37
8860,Don…,33186,221.…,65.99,5.26,Nort…,Tele…,0.56
Arra…,Beth…,33377,11.94,5.18,2.04,Nort…,Paper,0.36
Fisk…,Beth…,33377,47.3,17.24,3.26,Nort…,Scis…,0.56
"12 C…",Alan…,33444,-17.…,2.6,2.4,Nort…,Pens…,0.58
Piza…,Alan…,33444,-30.…,14.97,7.51,Nort…,Stor…,0.57
Imat…,Carl…,33703,-131…,60.98,1.99,Nort…,Comp…,0.5
Acco…,Carl…,33703,56.26,29.74,6.64,Nort…,Stor…,0.7
Port…,Carl…,33703,-8.47,12.21,4.81,Nort…,Stor…,0.58
Snap…,Jami…,33734,106.…,29.14,4.86,Nort…,Paper,0.38
Ibic…,Heat…,33888,-44.…,11.5,7.19,Nort…,Bind…,0.4
Hang…,Heat…,33888,-35.…,15.7,11.25,Nort…,Stor…,0.6
Tenn…,Heat…,33888,965.…,225.…,28.66,Nort…,Stor…,0.72
Wire…,Doug…,33894,11.34,9.27,4.39,Nort…,Paper,0.38
Acme…,Doug…,33894,-32.…,6.84,8.37,Nort…,Scis…,0.58
Imat…,Doug…,33894,-173…,4.98,4.62,Nort…,Comp…,0.64
"PC C…",Doug…,33894,-119…,32.98,5.5,Nort…,Comp…,0.75
Epso…,Carl…,33922,5353…,500.…,69.3,Nort…,Offi…,0.37
Aver…,Toby…,34177,9.47,2.61,0.5,Nort…,Labe…,0.39
Self…,Toby…,34177,73.18,7.31,0.49,Nort…,Labe…,0.38
Acce…,Toby…,34177,-83.…,20.99,2.5,Nort…,Tele…,0.81
Wils…,Cari…,34215,-5.92,5.34,2.99,Nort…,Bind…,0.38
Eure…,Thom…,34246,-257…,4.06,6.89,Nort…,Appl…,0.6
AT&T…,Thom…,34246,192.…,99.99,19.99,Nort…,Offi…,0.52
Peel…,Thom…,34246,1.91,11.58,6.97,Nort…,Enve…,0.35
Card…,Bren…,34631,-22.…,3.36,6.27,Nort…,Bind…,0.4
Cano…,Bren…,34631,2808…,699.…,24.49,Nort…,Copi…,0.41
Ster…,Char…,35047,-7.06,4.71,0.7,Nort…,Rubb…,0.85
Newe…,Beth…,35266,33.5,5.84,1.2,Nort…,Pens…,0.55
BoxO…,Beth…,35266,-998…,218.…,69.64,Nort…,Tabl…,0.77
Imat…,Euge…,35847,-144…,15.98,8.99,Nort…,Comp…,0.64
Aver…,Mich…,36001,-78.…,22.38,15.1,Nort…,Bind…,0.38
GBC…,Mich…,36001,51.82,12.95,4.98,Nort…,Bind…,0.4
R280,Gran…,36134,-413…,155.…,8.99,Nort…,Tele…,0.55
Acce…,Beth…,36135,381.…,35.99,3.3,Nort…,Tele…,0.39
U.S.…,Doro…,36644,218.…,99.99,19.99,Nort…,Comp…,0.5
Tenn…,Muha…,36646,-743…,48.91,35,Nort…,Stor…,0.83
Stap…,Char…,36707,71.56,3.78,0.71,Nort…,Rubb…,0.39
Micr…,Muha…,37253,-99.…,26.31,5.89,Nort…,Comp…,0.75
Fell…,Clau…,37541,-70.…,20.95,5.99,Nort…,Comp…,0.65
Xero…,Clau…,37541,98.32,55.98,13.88,Nort…,Paper,0.36
Cari…,Clau…,37541,-599…,80.98,35,Nort…,Stor…,0.81
Port…,Bren…,37634,-36.…,12.21,4.81,Nort…,Stor…,0.58
Acme…,Doro…,37793,-49.…,13.9,7.59,Nort…,Scis…,0.56
Eldo…,Mike…,37860,-98.…,55.5,52.2,Nort…,Offi…,0.72
Xero…,Edwa…,38884,-119…,5.28,5.66,Nort…,Paper,0.4
Hon…,Edwa…,38884,-98.…,296.…,54.12,Nort…,Tabl…,0.76
Defl…,Jami…,39364,-1.33,92.23,39.61,Nort…,Offi…,0.67
Fell…,Jami…,39364,8417…,1270…,19.99,Nort…,Bind…,0.35
Glob…,Juli…,39457,-197…,122.…,70.2,Nort…,Chai…,0.74
Poly…,Jere…,39683,168,18.99,5.23,Nort…,Bind…,0.37
