TASK,NAME,EMAIL,STATUS,CREATED_AT,UPDATED_AT,DELETED_AT,FILED1,FILED2
"Xerox 1936","Nicole Hansen",8419,70.39,19.98,5.97,,,
"Xerox 214","Nicole Hansen",8419,-86.62,6.48,7.03,,,
"Carina Double Wide Media Storage Towers in Natural & Black","Nicole Hansen",8833,-846.73,80.98,35,,,
"Staples� General Use 3-Ring Binders","Beth Paige",8995,8.05,1.88,1.49,,,
"Xerox 1904","Beth Paige",8995,-78.02,6.48,5.86,,,
"Luxo Professional Combination Clamp-On Lamps","Beth Paige",8995,737.94,102.3,21.26,,,
"Xerox 217","Beth Paige",8995,-191.28,6.48,8.19,,,
"Revere Boxed Rubber Bands by Revere","Beth Paige",8995,-21.49,1.89,0.76,,,
"Acco Smartsocket� Table Surge Protector, 6 Color-Coded Adapter Outlets","Sylvia Foulston",9126,884.08,62.05,3.99,,,
"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units","Bryan Davis",9127,-329.49,279.48,35,,,
"Hon 4070 Series Pagoda� Round Back Stacking Chairs","Joy Bell",9509,2825.15,320.98,58.95,,,
"Xerox 1887","Joy Bell",9509,2.13,18.97,5.21,,,
"Xerox 1891","Joy Bell",9509,707.15,48.91,5.81,,,
"Avery 506","Alan Barnes",9763,75.13,4.13,0.5,,,
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order","Grant Carroll",9927,-270.63,140.98,53.48,,,
"Lifetime Advantage� Folding Chairs, 4/Carton","Grant Carroll",9927,3387.35,218.08,18.06,,,
"Microsoft Natural Multimedia Keyboard","Grant Carroll",9927,-82.16,50.98,6.5,,,
"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack","Delfina Latchford",10022,-3.88,10.14,2.27,,,
"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""","Don Jones",10437,-191.22,15.99,13.18,,,
"Bevis Boat-Shaped Conference Table","Doug Bickford",10499,31.21,262.11,62.74,,,
"Linden� 12"" Wall Clock With Oak Frame","Doug Bickford",10535,-44.14,33.98,19.99,,,
"Newell 326","Doug Bickford",10535,-0.79,1.76,0.7,,,
"Prismacolor Color Pencil Set","Jamie Kunitz",10789,76.42,19.84,4.1,,,
"Xerox Blank Computer Paper","Anthony Johnson",10791,93.36,19.98,5.77,,,
"600 Series Flip","Ralph Knight",10945,4.22,95.99,8.99,,,
"Fellowes Recycled Storage Drawers","Allen Rosenblatt",11137,395.12,111.03,8.64,,,
"Satellite Sectional Post Binders","Barry Weirich",11202,79.59,43.41,2.99,,,
"Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting","Doug Bickford",11456,399.37,105.34,24.49,,,
"Avery 487","Carl Jackson",11460,37.79,3.69,0.5,,,
"Bevis Round Conference Table Top & Single Column Base","Brendan Dodson",11495,-144.2,146.34,43.75,,,
"GBC Twin Loop� Wire Binding Elements, 9/16"" Spine, Black","Edward Hooks",11911,-14.75,15.22,9.73,,,
"Hanging Personal Folder File","Jamie Kunitz",11941,-41.01,15.7,11.25,,,
"Bevis Round Conference Table Top, X-Base","Jamie Kunitz",11941,111.52,179.29,29.21,,,
5125,"Michelle Lonsdale",12096,2332.4,200.99,8.08,,,
"Electrix Halogen Magnifier Lamp","Michelle Lonsdale",12096,2176.19,194.3,11.54,,,
"Canon BP1200DH 12-Digit Bubble Jet Printing Calculator","Brendan Dodson",12289,1269.05,120.97,7.11,,,
"Fellowes Black Plastic Comb Bindings","Hunter Glantz",12352,-32.82,5.81,8.49,,,
"Polycom ViewStation� Adapter H323 Videoconferencing Unit","Sylvia Foulston",12419,5322.14,1938.02,13.99,,,
"Hon GuestStacker Chair","Eugene Barchas",12485,1068.48,226.67,28.16,,,
"Eldon� Wave Desk Accessories","Jim Radford",12544,-129.01,2.08,5.33,,,
"Sharp AL-1530CS Digital Copier","Carlos Soltero",12704,1260.51,499.99,24.49,,,
"Tennsco Lockers, Gray","Carlos Soltero",12704,-1274.02,20.98,53.03,,,
"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White","Carlos Soltero",12771,-193.44,30.53,19.99,,,
"Newell 323","Carlos Soltero",12771,-43.1,1.68,1.57,,,
"Global Enterprise Series Seating High-Back Swivel/Tilt Chairs","Jim Radford",12929,-158.93,270.98,50,,,
"Spiral Phone Message Books with Labels by Adams","Jim Radford",12929,29.68,4.48,1.22,,,
Crate-A-Files�,"Grant Carroll",13280,-116.76,10.9,7.46,,,
"Bell Sonecor JB700 Caller ID","Grant Carroll",13280,-160.95,7.99,5.03,,,
"Holmes 99% HEPA Air Purifier","Skye Norling",13313,-209.61,21.66,13.99,,,
"Xerox 224","Doug Bickford",13346,-240.83,6.48,8.88,,,
"Xerox 1906","Grant Carroll",13702,12.32,35.44,7.5,,,
"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""","Muhammed MacIntyre",13795,-119.08,15.99,13.18,,,
"Xerox 188","Muhammed MacIntyre",13795,43.35,11.34,5.01,,,
"Xerox 1932","Muhammed MacIntyre",13795,545.49,35.44,5.09,,,
"GBC Linen Binding Covers","Doug Bickford",14116,-16.07,30.98,11.63,,,
"GBC Recycled Grain Textured Covers","Doug Bickford",14116,161.48,34.54,14.72,,,
"Sauder Facets Collection Library, Sky Alder Finish","Beth Thompson",14372,-1059.2,170.98,60.49,,,
"Fellowes Basic 104-Key Keyboard, Platinum","Ralph Knight",14726,-21.48,20.95,4,,,
"Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection","Carl Jackson",14819,3122.78,207.48,0.99,,,
"O'Sullivan 3-Shelf Heavy-Duty Bookcases","Carl Jackson",14819,-478.22,58.14,36.61,,,
"G.E. Longer-Life Indoor Recessed Floodlight Bulbs","Dorothy Badders",15106,-14.23,6.64,4.95,,,
"Panasonic KX-P1150 Dot Matrix Printer","Dorothy Badders",15106,948.79,145.45,17.85,,,
"Newell 327","Dorothy Badders",15106,-6.33,2.21,1.12,,,
"Xerox 1893","Delfina Latchford",15108,372.36,40.99,17.48,,,
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","Julia West",15205,678.26,243.98,43.32,,,
"Eldon Radial Chair Mat for Low to Medium Pile Carpets","Julia West",15205,155.72,39.98,9.2,,,
"DAX Copper Panel Document Frame, 5 x 7 Size","Brad Eason",15591,73.53,12.58,5.16,,,
"O'Sullivan 2-Shelf Heavy-Duty Bookcases","Thomas Seio",15907,-1414.41,48.58,54.11,,,
"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped","Thomas Seio",15907,950.68,105.98,13.99,,,
"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page","Thomas Seio",15907,-5.41,7.04,2.17,,,
"Memorex Slim 80 Minute CD-R, 10/Pack","Monica Federle",15937,74.07,9.78,1.99,,,
"Aluminum Document Frame","Monica Federle",15937,77.38,12.22,2.85,,,
"Memorex 80 Minute CD-R Spindle, 100/Pack","Michelle Lonsdale",16039,-118.82,43.98,1.99,,,
"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins","Frank Price",16193,6.41,34.76,8.22,,,
Accessory36,"Frank Price",16193,-183.68,55.99,5,,,
"Xerox 20","Bryan Davis",16423,-55.13,6.48,6.57,,,
"Surelock� Post Binders","Don Jones",16451,58.23,30.56,2.99,,,
"Colorific� Watercolor Pencils","Carlos Soltero",16545,4.45,5.16,0.73,,,
"*Staples* vLetter Openers, 2/Pack","Carlos Soltero",16545,-3.06,3.68,1.32,,,
"Hon 4700 Series Mobuis� Mid-Back Task Chairs with Adjustable Arms","Nicole Hansen",16547,1240.25,355.98,58.92,,,
"BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables","Nicole Hansen",16547,-533.23,218.75,69.64,,,
"Eldon Econocleat� Chair Mats for Low Pile Carpets","Beth Thompson",16706,-1003.58,41.47,34.2,,,
"Prang Drawing Pencil Set","Beth Thompson",16706,-4.06,2.78,1.2,,,
T39m,"Beth Thompson",16706,1881.58,155.99,3.9,,,
"Xerox 1982","Nicole Hansen",16741,-42.38,22.84,16.87,,,
"Xerox 1924","Carlos Soltero",16932,-120.99,5.78,8.09,,,
"Turquoise Lead Holder with Pocket Clip","Carlos Soltero",16932,12.88,6.7,1.56,,,
"Okidata ML395C Color Dot Matrix Printer","Dorothy Badders",17283,-2816.34,1360.14,14.7,,,
"Global Enterprise Series Seating High-Back Swivel/Tilt Chairs","Muhammed MacIntyre",17286,-541.87,270.98,50,,,
"Microsoft Internet Keyboard","Muhammed MacIntyre",17409,-158.87,20.97,6.5,,,
"Xerox 1982","Don Miller",17764,-97.28,22.84,16.87,,,
"Global Ergonomic Managers Chair","Sylvia Foulston",18080,-80.83,180.98,26.2,,,
"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum","Becky Castell",18113,-514.32,130.98,30,,,
"Xerox 1971","Dorothy Wardle",18144,-131.82,4.28,5.17,,,
"Eldon Portable Mobile Manager","Dorothy Wardle",18144,-65.42,28.28,13.99,,,
Accessory6,"Dorothy Wardle",18144,-250.17,55.99,5,,,
"Durable Pressboard Binders","Ann Chong",18308,15.73,3.8,1.49,,,
"Fellowes 17-key keypad for PS/2 interface","Ann Chong",18308,-92.58,30.73,4,,,
"StarTAC ST7762","Ann Chong",18308,1465.87,125.99,8.08,,,
Accessory21,"Clay Rozendal",18887,18.23,20.99,0.99,,,
"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind","Grant Carroll",19010,10951.31,1270.99,19.99,,,
"Staples 6 Outlet Surge","Brendan Dodson",19078,-18.19,11.97,4.98,,,
"Recycled Eldon Regeneration Jumbo File","Carlos Daly",19138,-31.45,12.28,6.13,,,
"Verbatim DVD-R 4.7GB authoring disc","Alan Barnes",19655,304.42,39.24,1.99,,,
"Canon P1-DHIII Palm Printing Calculator","Alan Barnes",19686,-53.08,17.98,8.51,,,
"GBC Binding covers","Alan Barnes",19686,12.76,12.95,4.98,,,
"Newell 323","Nicole Hansen",20007,-46.25,1.68,1.57,,,
"Global Stack Chair without Arms, Black","Cari Schnelling",20071,-190.41,25.98,14.36,,,
"Speediset Carbonless Redi-Letter� 7"" x 8 1/2""","Chad Cunningham",20160,174.89,10.31,1.79,,,
"GBC Recycled Regency Composition Covers","Bryan Mills",20263,72.51,59.78,10.29,,,
Accessory29,"Bryan Mills",20263,-76.86,20.99,1.25,,,
"Newell 323","Adrian Hane",21285,-30.54,1.68,1.57,,,
"SANFORD Major Accent� Highlighters","Adrian Hane",21285,23.82,7.08,2.35,,,
"Polycom ViaVideo� Desktop Video Communications Unit","Rick Reed",21383,7416.43,574.74,24.49,,,
"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set","Heather Kirkland",21607,54.92,36.55,13.89,,,
Accessory24,"Fred Wasserman",21636,366.51,55.99,3.3,,,
"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock","Becky Castell",21889,135.79,51.75,19.99,,,
"Recycled Steel Personal File for Standard File Folders","Becky Castell",21889,103.38,55.29,5.08,,,
"Eldon Expressions� Desk Accessory, Wood Pencil Holder, Oak","Beth Thompson",22151,-79.72,9.65,6.22,,,
Accessory39,"Claudia Miner",22342,-92.96,20.99,3.3,,,
"Bell Sonecor JB700 Caller ID","Jack Lebron",22469,-162.37,7.99,5.03,,,
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes","Alan Barnes",22501,7.27,7.64,1.39,,,
"GBC Standard Plastic Binding Systems Combs","Carlos Soltero",22532,-11.8,8.85,5.6,,,
"Xerox 1930","Clay Rozendal",23264,-50.82,6.48,6.81,,,
"Avery 474","Clay Rozendal",23264,17.99,2.88,0.99,,,
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","Julia West",23488,-11053.6,880.98,44.55,,,
"Hewlett-Packard Deskjet 6122 Color Inkjet Printer","Alan Barnes",23584,636.18,200.97,15.59,,,
"IBM 80 Minute CD-R Spindle, 50/Pack","Joy Bell",24007,135.65,20.89,1.99,,,
"Peel & Seel� Recycled Catalog Envelopes, Brown","Joy Bell",24007,-13.95,11.58,6.97,,,
"Avery 506","Joy Bell",24007,66.17,4.13,0.5,,,
"Prang Drawing Pencil Set","Jack Lebron",24038,-0.95,2.78,1.34,,,
"TDK 4.7GB DVD+RW","Anthony Johnson",24097,-35.34,14.48,1.99,,,
"U.S. Robotics 56K Internet Call Modem","Anthony Johnson",24097,399.93,99.99,19.99,,,
"Xerox 190","Anthony Johnson",24097,-8.15,4.98,4.86,,,
"Standard Line� �While You Were Out� Hardbound Telephone Message Book","Eugene Barchas",24128,7.07,21.98,8.32,,,
"CF 888","Eugene Barchas",24128,1459.79,195.99,3.99,,,
"Hewlett-Packard Deskjet 6122 Color Inkjet Printer","Thomas Seio",24294,1951.3,200.97,15.59,,,
"Dana Halogen Swing-Arm Architect Lamp","Bryan Mills",24387,51.9,40.97,14.45,,,
"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black","Bryan Mills",24387,1418.36,349.45,60,,,
"Lexmark Z25 Color Inkjet Printer","Eugene Barchas",24515,121.48,80.97,33.6,,,
"Hon Multipurpose Stacking Arm Chairs","Sylvia Foulston",24743,176.67,216.6,64.2,,,
"Hon Olson Stacker Stools","Sylvia Foulston",24743,753.61,140.81,24.49,,,
"Executive Impressions 14"" Two-Color Numerals Wall Clock","Carl Ludwig",24871,75.3,22.72,8.99,,,
"12-1/2 Diameter Round Wall Clock","Julia West",25318,-65.18,19.98,10.49,,,
"Epson DFX5000+ Dot Matrix Printer","Don Jones",25377,-3755.03,1500.97,29.7,,,
"Fellowes Basic 104-Key Keyboard, Platinum","Mike Pelletier",25634,28.99,20.95,4,,,
"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13","Mike Pelletier",25634,185.32,23.99,6.71,,,
"GBC Standard Therm-A-Bind Covers","Eugene Barchas",25733,-42.99,24.92,12.98,,,
"80 Minute CD-R Spindle, 100/Pack - Staples","Ann Chong",25767,-59.2,39.48,1.99,,,
"Xerox 1892","Ann Chong",25767,108.01,38.76,13.26,,,
"Staples Paper Clips","Charles McCrossin",26023,19.86,2.47,1.02,,,
"Metal Folding Chairs, Beige, 4/Carton","Annie Cyprus",26051,-127.39,33.94,19.19,,,
"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples","Annie Cyprus",26051,22.46,8.33,1.99,,,
"Computer Printout Paper with Letter-Trim Perforations","Carlos Soltero",26116,81.71,18.97,9.03,,,
"Bush Mission Pointe Library","Doug Bickford",26182,-549.27,150.98,66.27,,,
"Hon Olson Stacker Stools","Carlos Daly",26272,-4.19,140.81,24.49,,,
"Xerox 1929","Fred Wasserman",26370,52.02,22.84,5.47,,,
"Home/Office Personal File Carts","Fred Wasserman",26370,63.83,34.76,5.49,,,
"Avery 507","Sylvia Foulston",26499,8.78,2.88,0.5,,,
i470,"Michelle Lonsdale",26531,1215.44,205.99,5.26,,,
"3M Organizer Strips","Sylvia Foulston",26567,-44.07,5.4,7.78,,,
"Imation 3.5 IBM Diskettes, 10/Box","Sylvia Foulston",26567,-100.51,8.46,8.99,,,
"GE 4 Foot Flourescent Tube, 40 Watt","Sylvia Foulston",26567,-17.75,14.98,8.99,,,
"300 Series Non-Flip","Sylvia Foulston",26567,1374.95,155.99,8.08,,,
"Executive Impressions 13"" Chairman Wall Clock","Charlotte Melton",26854,-12.95,25.38,8.99,,,
"Micro Innovations 104 Keyboard","Barry French",27109,-154.66,10.97,6.5,,,
"US Robotics 56K V.92 External Faxmodem","Heather Kirkland",27111,-127.56,99.99,19.99,,,
"Fellowes Staxonsteel� Drawer Files","Heather Kirkland",27111,282.18,193.17,19.99,,,
Accessory39,"Heather Kirkland",27111,-96.34,20.99,3.3,,,
"Telescoping Adjustable Floor Lamp","Henry Goldwyn",27264,44.54,19.99,11.17,,,
"Canon MP41DH Printing Calculator","Frank Price",27392,2509.52,150.98,13.99,,,
"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish","Jim Radford",27553,1166.93,370.98,99,,,
"VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine","Jim Radford",27553,297.11,179.99,13.99,,,
"Memo Book, 100 Message Capacity, 5 3/8� x 11�","Ralph Knight",27555,65.41,6.74,1.72,,,
"Belkin 6 Outlet Metallic Surge Strip","Delfina Latchford",27680,-46.98,10.89,4.5,,,
"Xerox 21","Delfina Latchford",27680,-46.89,6.48,6.6,,,
"GBC DocuBind TL200 Manual Binding Machine","Roy Skaria",27778,-105.14,223.98,15.01,,,
"Sauder Forest Hills Library, Woodland Oak Finish","Roy Skaria",27778,-393.96,140.98,36.09,,,
"Xerox 1940","Monica Federle",27909,-23.24,54.96,10.75,,,
"Bagged Rubber Bands","Monica Federle",27909,-24.86,1.26,0.7,,,
"Xerox 1897","Charles McCrossin",28003,-95.92,4.98,6.07,,,
"Poly Designer Cover & Back","Don Miller",28035,89.56,18.99,5.23,,,
"Bionaire Personal Warm Mist Humidifier/Vaporizer","Jeremy Lonsdale",28135,520.69,46.89,5.1,,,
"Acme� 8"" Straight Scissors","Jeremy Lonsdale",28135,38.23,12.98,3.14,,,
"Heavy-Duty E-Z-D� Binders","Grant Carroll",28165,-12.8,10.91,2.99,,,
"Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright)","Carl Ludwig",28289,-46.03,4.98,4.75,,,
"Deluxe Rollaway Locking File with Drawer","Carlos Daly",28486,-517.47,415.88,11.37,,,
252,"Ralph Knight",28675,4.39,65.99,5.92,,,
6160,"Cindy Schnelling",28870,822.4,115.99,2.5,,,
"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack","Claudia Miner",28871,-56.12,5.02,5.14,,,
"Prismacolor Color Pencil Set","Roy Skaria",29030,24.6,19.84,4.1,,,
"Wilson Jones DublLock� D-Ring Binders","Delfina Latchford",29095,54.46,6.75,2.99,,,
"Binder Posts","Edward Hooks",29287,-106.4,5.74,5.01,,,
"Epson LQ-570e Dot Matrix Printer","Edward Hooks",29287,2699.67,270.97,28.06,,,
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","Don Miller",29510,1292.44,260.98,41.91,,,
"Fellowes PB300 Plastic Comb Binding Machine","Grant Carroll",29795,8793.54,387.99,19.99,,,
"Rush Hierlooms Collection Rich Wood Bookcases","Grant Carroll",29795,813.83,160.98,35.02,,,
"Avery 481","Brad Eason",29861,5.58,3.08,0.99,,,
"Sharp AL-1530CS Digital Copier","Charles McCrossin",30658,6907.61,499.99,24.49,,,
"SAFCO Commercial Wire Shelving, Black","Charles McCrossin",30658,-942.5,138.14,35,,,
"Avery Trapezoid Extra Heavy Duty 4"" Binders","Charles McCrossin",30947,261.24,41.94,2.99,,,
"Self-Adhesive Address Labels for Typewriters by Universal","Charles McCrossin",30947,183.53,7.31,0.49,,,
"StarTAC Series","Bryan Mills",31077,470.83,65.99,3.9,,,
"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4","Monica Federle",31111,-29.02,7.64,5.83,,,
"Dana Halogen Swing-Arm Architect Lamp","Michelle Lonsdale",31169,109.88,40.97,14.45,,,
"Global Comet� Stacking Armless Chair","Michelle Lonsdale",31270,801.72,299.05,87.01,,,
"Hon 4070 Series Pagoda� Armless Upholstered Stacking Chairs","Michelle Lonsdale",31270,-328.36,291.73,48.8,,,
"Fellowes Internet Keyboard, Platinum","Michelle Lonsdale",31270,-112.44,30.42,8.65,,,
"Deluxe Rollaway Locking File with Drawer","Beth Thompson",31364,-539.59,415.88,11.37,,,
"Luxo Economy Swing Arm Lamp","Cindy Schnelling",31393,-27.31,19.94,14.87,,,
"*Staples* vLetter Openers, 2/Pack","Cindy Schnelling",31393,-32.65,3.68,1.32,,,
"Staples 6 Outlet Surge","Nicole Hansen",31492,-12.25,11.97,4.98,,,
"Acco Perma� 2700 Stacking Storage Drawers","Nicole Hansen",31492,-21.1,29.74,6.64,,,
"Fellowes Stor/Drawer� Steel Plus� Storage Drawers","Nicole Hansen",31492,-235.56,95.43,19.99,,,
"Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room","Cari Schnelling",31558,900.06,300.65,24.49,,,
"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus","Cari Schnelling",31558,455.37,45.19,1.99,,,
"Lock-Up Easel 'Spel-Binder'","Roy Skaria",31618,147.45,28.53,1.49,,,
